date,value
10/4/2024,121.95
10/3/2024,117.55
10/2/2024,116.0
10/1/2024,117.9
9/30/2024,118.75
9/27/2024,114.81
9/26/2024,114.85
9/25/2024,114.95
9/24/2024,114.25
9/23/2024,114.65
9/20/2024,113.9
9/19/2024,113.75
9/18/2024,114.0
9/17/2024,114.15
9/16/2024,112.8
9/13/2024,114.0
9/12/2024,113.15
9/11/2024,113.9
9/10/2024,113.8
9/9/2024,114.6
9/6/2024,114.65
9/5/2024,114.3
9/4/2024,114.65
9/3/2024,116.05
8/30/2024,121.68
8/29/2024,121.4
8/28/2024,121.4
8/27/2024,121.0
8/26/2024,121.15
8/23/2024,121.15
8/22/2024,120.85
8/21/2024,120.25
8/20/2024,121.5
8/19/2024,122.4
8/16/2024,122.4
8/15/2024,122.5
8/14/2024,121.9
8/13/2024,120.75
8/12/2024,122.9
8/9/2024,122.0
8/8/2024,121.5
8/7/2024,121.15
8/6/2024,120.85
8/5/2024,119.55
8/2/2024,121.4
8/1/2024,120.6
7/31/2024,116.65
7/30/2024,116.4
7/29/2024,115.45
7/26/2024,106.37
7/25/2024,106.25
7/24/2024,106.15
7/23/2024,105.25
7/22/2024,105.0
7/19/2024,105.15
7/18/2024,105.15
7/17/2024,104.4
7/16/2024,106.5
7/15/2024,106.1
7/12/2024,103.75
7/11/2024,102.15
7/10/2024,101.5
7/9/2024,102.85
7/8/2024,104.5
7/5/2024,104.45
7/3/2024,103.6
7/2/2024,103.25
7/1/2024,103.7
6/28/2024,109.66
6/27/2024,108.5
6/26/2024,108.65
6/25/2024,108.9
6/24/2024,109.0
6/21/2024,109.4
6/20/2024,110.65
6/18/2024,109.15
6/17/2024,109.0
6/14/2024,109.8
6/13/2024,110.3
6/12/2024,109.65
6/11/2024,108.8
6/10/2024,109.55
6/7/2024,108.65
6/6/2024,109.65
6/5/2024,111.4
6/4/2024,116.5
6/3/2024,118.95
5/31/2024,106.04
5/30/2024,105.5
5/29/2024,105.5
5/28/2024,105.5
5/24/2024,105.4
5/23/2024,105.65
5/22/2024,105.25
5/21/2024,106.5
5/20/2024,106.25
5/17/2024,105.0
5/16/2024,106.4
5/15/2024,105.5
5/14/2024,105.25
5/13/2024,105.75
5/10/2024,106.9
5/9/2024,107.25
5/8/2024,106.3
5/7/2024,108.75
5/6/2024,107.0
5/3/2024,107.0
5/2/2024,107.75
5/1/2024,105.5
4/30/2024,103.15
4/29/2024,101.35
4/26/2024,118.78
4/25/2024,118.65
4/24/2024,118.35
4/23/2024,119.0
4/22/2024,119.15
4/19/2024,119.9
4/18/2024,120.4
4/17/2024,120.15
4/16/2024,121.65
4/15/2024,120.7
4/12/2024,122.0
4/11/2024,120.75
4/10/2024,118.25
4/9/2024,117.9
4/8/2024,118.0
4/5/2024,117.95
4/4/2024,116.25
4/3/2024,118.9
4/2/2024,121.65
4/1/2024,119.75
3/28/2024,114.44
3/27/2024,114.05
3/26/2024,113.9
3/25/2024,113.75
3/22/2024,113.0
3/21/2024,112.4
3/20/2024,112.25
3/19/2024,112.65
3/18/2024,112.4
3/15/2024,112.35
3/14/2024,111.15
3/13/2024,109.5
3/12/2024,109.25
3/11/2024,109.0
3/8/2024,111.15
3/7/2024,110.75
3/6/2024,112.15
3/5/2024,112.5
3/4/2024,111.0
3/1/2024,107.0
2/29/2024,103.85
2/28/2024,103.65
2/27/2024,100.9
2/26/2024,98.7
2/23/2024,95.77
2/22/2024,95.65
2/21/2024,95.15
2/20/2024,94.75
2/16/2024,94.5
2/15/2024,94.5
2/14/2024,94.15
2/13/2024,94.0
2/12/2024,94.4
2/9/2024,96.0
2/8/2024,97.4
2/7/2024,98.5
2/6/2024,98.5
2/5/2024,98.2
2/2/2024,98.5
2/1/2024,97.45
1/31/2024,99.55
1/30/2024,96.0
1/29/2024,94.4
1/26/2024,106.07
1/25/2024,105.7
1/24/2024,105.9
1/23/2024,105.5
1/22/2024,105.55
1/19/2024,106.25
1/18/2024,106.9
1/17/2024,107.0
1/16/2024,108.0
1/12/2024,108.55
1/11/2024,107.25
1/10/2024,109.0
1/9/2024,111.15
1/8/2024,113.2
1/5/2024,115.25
1/4/2024,112.4
1/3/2024,109.25
1/2/2024,106.15
12/29/2023,117.55
12/28/2023,117.25
12/27/2023,117.5
12/26/2023,115.85
12/22/2023,115.85
12/21/2023,116.0
12/20/2023,116.25
12/19/2023,116.75
12/18/2023,116.85
12/15/2023,117.0
12/14/2023,118.0
12/13/2023,117.9
12/12/2023,117.65
12/11/2023,121.3
12/8/2023,122.75
12/7/2023,122.0
12/6/2023,120.4
12/5/2023,118.0
12/4/2023,119.0
12/1/2023,119.8
11/30/2023,118.45
11/29/2023,114.7
11/28/2023,114.35
11/27/2023,116.75
11/24/2023,123.55
11/22/2023,122.75
11/21/2023,122.4
11/20/2023,121.75
11/17/2023,121.75
11/16/2023,122.5
11/15/2023,123.15
11/14/2023,123.75
11/13/2023,124.5
11/10/2023,124.65
11/9/2023,126.65
11/8/2023,124.7
11/7/2023,121.0
11/6/2023,120.75
11/3/2023,124.5
11/2/2023,124.0
11/1/2023,122.5
10/31/2023,123.15
10/30/2023,128.2
10/27/2023,136.08
10/26/2023,135.6
10/25/2023,136.0
10/24/2023,135.25
10/23/2023,137.0
10/20/2023,138.0
10/19/2023,137.4
10/18/2023,138.25
10/17/2023,138.75
10/16/2023,138.85
10/13/2023,139.1
10/12/2023,134.25
10/11/2023,130.0
10/10/2023,130.25
10/9/2023,126.15
10/6/2023,122.8
10/5/2023,120.05
10/4/2023,119.3
10/3/2023,121.35
10/2/2023,124.0
9/29/2023,123.32
9/28/2023,122.65
9/27/2023,122.65
9/26/2023,123.0
9/25/2023,123.0
9/22/2023,122.15
9/21/2023,121.65
9/20/2023,122.5
9/19/2023,122.5
9/18/2023,121.5
9/15/2023,120.85
9/14/2023,120.6
9/13/2023,119.6
9/12/2023,118.35
9/11/2023,117.75
9/8/2023,116.15
9/7/2023,116.25
9/6/2023,116.15
9/5/2023,119.0
