date,value
10/7/2024,"19,108.05"
10/4/2024,"19,120.93"
10/3/2024,"19,015.41"
10/2/2024,"19,164.75"
10/1/2024,"19,213.14"
9/30/2024,"19,324.93"
9/27/2024,"19,473.63"
9/26/2024,"19,238.36"
9/25/2024,"18,918.50"
9/24/2024,"18,996.63"
9/23/2024,"18,846.79"
9/20/2024,"18,720.01"
9/19/2024,"19,002.38"
9/18/2024,"18,711.49"
9/17/2024,"18,726.08"
9/16/2024,"18,633.11"
9/13/2024,"18,699.40"
9/12/2024,"18,518.39"
9/11/2024,"18,330.27"
9/10/2024,"18,265.92"
9/9/2024,"18,443.56"
9/6/2024,"18,301.90"
9/5/2024,"18,576.50"
9/4/2024,"18,591.85"
9/3/2024,"18,747.11"
9/2/2024,"18,930.85"
8/30/2024,"18,906.92"
8/29/2024,"18,912.57"
8/28/2024,"18,782.29"
8/27/2024,"18,681.81"
8/26/2024,"18,617.02"
8/23/2024,"18,633.10"
8/22/2024,"18,493.39"
8/21/2024,"18,448.95"
8/20/2024,"18,357.52"
8/19/2024,"18,421.69"
8/16/2024,"18,322.40"
8/15/2024,"18,183.24"
8/14/2024,"17,885.60"
8/13/2024,"17,812.05"
8/12/2024,"17,726.47"
8/9/2024,"17,722.88"
8/8/2024,"17,680.40"
8/7/2024,"17,615.15"
8/6/2024,"17,354.32"
8/5/2024,"17,339.00"
8/2/2024,"17,661.22"
8/1/2024,"18,083.05"
7/31/2024,"18,508.65"
7/30/2024,"18,411.18"
7/29/2024,"18,320.67"
7/26/2024,"18,417.55"
7/25/2024,"18,298.72"
7/24/2024,"18,387.46"
7/23/2024,"18,557.70"
7/22/2024,"18,407.07"
7/19/2024,"18,171.93"
7/18/2024,"18,354.76"
7/17/2024,"18,437.30"
7/16/2024,"18,518.03"
7/15/2024,"18,590.89"
7/12/2024,"18,748.18"
7/11/2024,"18,534.56"
7/10/2024,"18,407.22"
7/9/2024,"18,236.19"
7/8/2024,"18,472.05"
7/5/2024,"18,475.45"
7/4/2024,"18,450.48"
7/3/2024,"18,374.53"
7/2/2024,"18,164.06"
7/1/2024,"18,290.66"
6/28/2024,"18,235.45"
6/27/2024,"18,210.55"
6/26/2024,"18,155.24"
6/25/2024,"18,177.62"
6/24/2024,"18,325.58"
6/21/2024,"18,163.52"
6/20/2024,"18,254.18"
6/19/2024,"18,067.91"
6/18/2024,"18,131.97"
6/17/2024,"18,068.21"
6/14/2024,"18,002.02"
6/13/2024,"18,265.68"
6/12/2024,"18,630.86"
6/11/2024,"18,369.94"
6/10/2024,"18,494.89"
6/7/2024,"18,557.27"
6/6/2024,"18,652.67"
6/5/2024,"18,575.94"
6/4/2024,"18,405.64"
6/3/2024,"18,608.16"
5/31/2024,"18,497.94"
5/30/2024,"18,496.79"
5/29/2024,"18,473.29"
5/28/2024,"18,677.87"
5/27/2024,"18,774.71"
5/24/2024,"18,693.37"
5/23/2024,"18,691.32"
5/22/2024,"18,680.20"
5/21/2024,"18,726.76"
5/20/2024,"18,768.96"
5/17/2024,"18,704.42"
5/16/2024,"18,738.81"
5/15/2024,"18,869.36"
5/14/2024,"18,716.42"
5/13/2024,"18,742.22"
5/10/2024,"18,772.85"
5/9/2024,"18,686.60"
5/8/2024,"18,498.38"
5/7/2024,"18,430.05"
5/6/2024,"18,175.21"
5/3/2024,"17,993.69"
5/2/2024,"17,896.50"
4/30/2024,"17,932.17"
4/29/2024,"18,118.32"
4/26/2024,"18,161.01"
4/25/2024,"17,917.28"
4/24/2024,"18,088.70"
4/23/2024,"18,137.65"
4/22/2024,"17,860.80"
4/19/2024,"17,737.36"
4/18/2024,"17,837.40"
4/17/2024,"17,770.02"
4/16/2024,"17,766.23"
4/15/2024,"18,026.58"
4/12/2024,"17,930.32"
4/11/2024,"17,954.48"
4/10/2024,"18,097.30"
4/9/2024,"18,076.69"
4/8/2024,"18,318.97"
4/5/2024,"18,175.04"
4/4/2024,"18,403.13"
4/3/2024,"18,367.72"
4/2/2024,"18,283.13"
3/28/2024,"18,492.49"
