date,value
10/7/2024,39.55
10/4/2024,40.98
10/3/2024,39.912
10/2/2024,38.617
10/1/2024,39.273
9/30/2024,39.044
9/27/2024,38.114
9/26/2024,37.89
9/25/2024,37.319
9/24/2024,35.413
9/23/2024,36.211
9/20/2024,34.444
9/19/2024,33.083
9/18/2024,35.245
9/17/2024,35.547
9/16/2024,34.081
9/13/2024,35.648
9/12/2024,35.191
9/11/2024,36.142
9/10/2024,35.282
9/9/2024,37.333
9/6/2024,36.479
9/5/2024,36.195
9/4/2024,35.798
9/3/2024,37.193
9/2/2024,38.58
8/30/2024,39.823
8/29/2024,38.601
8/28/2024,38.52
8/27/2024,38.689
8/26/2024,37.656
8/23/2024,36.863
8/22/2024,36.587
8/21/2024,37.01
8/20/2024,37.957
8/19/2024,39.845
8/16/2024,39.644
8/15/2024,39.601
8/14/2024,38.967
8/13/2024,39.48
8/12/2024,39.658
8/9/2024,40.396
8/8/2024,40.095
8/7/2024,38.451
8/6/2024,36.676
8/5/2024,35.498
8/2/2024,36.649
8/1/2024,36.969
7/31/2024,35.868
7/30/2024,34.361
7/29/2024,33.873
7/26/2024,32.475
7/25/2024,31.779
7/24/2024,32.621
7/23/2024,31.622
7/22/2024,31.839
7/19/2024,32.17
7/18/2024,32.674
7/17/2024,31.893
7/16/2024,32.797
7/15/2024,31.371
7/12/2024,31.719
7/11/2024,31.112
7/10/2024,30.784
7/9/2024,31.335
7/8/2024,32.286
7/5/2024,33.067
7/4/2024,33.246
7/3/2024,32.691
7/2/2024,33.685
7/1/2024,33.485
6/28/2024,34.48
6/27/2024,34.565
6/26/2024,33.824
6/25/2024,34.853
6/24/2024,34.08
6/21/2024,33.936
6/20/2024,34.464
6/19/2024,35.338
6/18/2024,34.7
6/17/2024,34.21
6/14/2024,35.36
6/13/2024,35.724
6/12/2024,35.294
6/11/2024,34.285
6/10/2024,34.258
6/7/2024,33.109
6/6/2024,33.686
6/5/2024,33.355
6/4/2024,33.797
6/3/2024,36.014
5/31/2024,34.223
5/30/2024,35.192
5/29/2024,33.879
5/28/2024,33.534
5/27/2024,35.243
5/24/2024,34.115
5/23/2024,35.228
5/22/2024,34.389
5/21/2024,33.004
5/20/2024,31.768
5/17/2024,30.769
5/16/2024,30.248
5/15/2024,29.734
5/14/2024,29.669
5/13/2024,29.578
5/10/2024,30.029
5/9/2024,30.865
5/8/2024,30.609
5/7/2024,31.067
5/6/2024,31.801
5/3/2024,30.528
5/2/2024,30.913
5/1/2024,28.73
4/30/2024,29.118
4/29/2024,27.994
4/26/2024,28.886
4/25/2024,29.771
4/24/2024,29.018
4/23/2024,28.417
4/22/2024,29.31
4/19/2024,30.758
