date,value
10/7/2024,79.59
10/6/2024,77.52
10/4/2024,78.08
10/3/2024,77.9
10/2/2024,74.67
10/1/2024,74.46
9/30/2024,71.7
9/27/2024,71.54
9/26/2024,71.09
9/25/2024,72.9
9/24/2024,74.47
9/23/2024,73.9
9/20/2024,74.49
9/19/2024,74.88
9/18/2024,73.65
9/17/2024,73.7
9/16/2024,72.75
9/13/2024,71.61
9/12/2024,71.97
9/11/2024,70.61
9/10/2024,69.19
9/9/2024,71.84
9/6/2024,71.06
9/5/2024,72.69
9/4/2024,72.7
9/3/2024,73.75
9/2/2024,77.52
8/30/2024,78.8
8/29/2024,79.94
8/28/2024,78.65
8/27/2024,79.55
8/26/2024,81.43
8/23/2024,79.02
8/22/2024,77.22
8/21/2024,76.05
8/20/2024,77.2
8/19/2024,77.66
8/16/2024,79.68
8/15/2024,81.04
8/14/2024,79.76
8/13/2024,80.69
8/12/2024,82.3
8/9/2024,79.66
8/8/2024,79.16
8/7/2024,78.33
8/6/2024,76.48
8/5/2024,76.3
8/2/2024,76.81
8/1/2024,79.52
7/31/2024,80.72
7/30/2024,78.63
7/29/2024,79.78
7/26/2024,81.13
7/25/2024,82.37
7/24/2024,81.71
7/23/2024,81.01
7/22/2024,82.4
7/19/2024,82.63
7/18/2024,85.11
7/17/2024,85.08
7/16/2024,83.73
7/15/2024,84.85
7/12/2024,85.03
7/11/2024,85.4
7/10/2024,85.08
7/9/2024,84.66
7/8/2024,85.75
7/5/2024,86.54
7/4/2024,87.43
7/3/2024,87.34
7/2/2024,86.24
7/1/2024,86.6
6/28/2024,86.41
6/27/2024,86.39
6/26/2024,85.25
6/25/2024,85.01
6/24/2024,86.01
6/21/2024,85.24
6/20/2024,85.71
6/19/2024,85.07
6/18/2024,85.33
6/17/2024,84.25
6/14/2024,82.08
6/13/2024,82.3
6/12/2024,82.15
6/11/2024,81.54
6/10/2024,81.23
6/7/2024,79.34
6/6/2024,79.5
6/5/2024,78.04
6/4/2024,77.27
6/3/2024,78.22
5/31/2024,81.62
5/30/2024,81.86
5/29/2024,83.6
5/28/2024,84.22
5/27/2024,83.1
5/24/2024,82.12
5/23/2024,81.36
