date,value
10/4/2024,896.68
10/3/2024,901.4
10/2/2024,910.36
10/1/2024,923.34
9/30/2024,935.48
9/27/2024,938.83
9/26/2024,930.01
9/25/2024,918.87
9/24/2024,925.48
9/23/2024,922.31
9/20/2024,916.76
9/19/2024,922.29
9/18/2024,929.09
9/17/2024,931.82
9/16/2024,923.45
9/13/2024,919.19
9/12/2024,905.16
9/11/2024,908.56
9/10/2024,883.84
9/9/2024,882.54
9/6/2024,891.61
9/5/2024,901.32
9/4/2024,899.74
9/3/2024,891.01
9/2/2024,908.6
8/30/2024,910.28
8/29/2024,906.02
8/28/2024,912.33
8/27/2024,915.7
8/26/2024,918.8
8/23/2024,918.82
8/22/2024,897.71
8/21/2024,906.34
8/20/2024,905.74
8/19/2024,916.19
8/16/2024,901.52
8/15/2024,901.96
8/14/2024,899.38
8/13/2024,898.67
8/12/2024,883.49
8/9/2024,883.68
8/8/2024,884.18
8/7/2024,878.11
8/6/2024,866.74
8/5/2024,862.23
8/2/2024,889.33
8/1/2024,895.39
7/31/2024,900.34
7/30/2024,887.5
7/29/2024,893.06
7/26/2024,899.11
7/25/2024,890.12
7/24/2024,890.31
7/23/2024,878.09
7/22/2024,881.21
7/19/2024,877.24
7/18/2024,882.56
7/17/2024,883.18
7/16/2024,894.48
7/15/2024,887.32
7/12/2024,918.28
7/11/2024,906.92
7/10/2024,883.01
7/9/2024,874.1
7/8/2024,874.23
7/5/2024,869.45
7/4/2024,871.26
7/3/2024,868.29
7/2/2024,847.6
7/1/2024,853.86
6/28/2024,856.86
6/27/2024,879.15
6/26/2024,877.84
6/25/2024,885.66
6/24/2024,899.85
6/21/2024,893.14
6/20/2024,895.73
6/19/2024,903.58
6/18/2024,906.13
6/17/2024,904.54
6/14/2024,921.51
6/13/2024,941.38
6/12/2024,955.46
6/11/2024,942.95
6/10/2024,937.12
6/7/2024,929.79
6/6/2024,947.61
6/5/2024,953.6
6/4/2024,947.7
6/3/2024,957.57
5/31/2024,950.79
5/30/2024,952.41
5/29/2024,942.82
5/28/2024,960.97
5/27/2024,956.74
5/24/2024,947.17
5/23/2024,928.6
5/22/2024,939.22
5/21/2024,908.53
5/20/2024,900.54
5/17/2024,901.75
5/16/2024,908.34
5/15/2024,906.5
5/14/2024,896.45
5/13/2024,884.15
5/10/2024,882.29
5/9/2024,884.76
5/8/2024,882.67
5/7/2024,889.57
5/6/2024,884.05
5/3/2024,882.46
5/2/2024,858.91
5/1/2024,845.69
4/30/2024,847.38
4/29/2024,857.29
4/26/2024,844.55
4/25/2024,834.22
4/24/2024,840.56
4/23/2024,847.85
4/22/2024,838.7
4/19/2024,832.52
4/18/2024,839.33
4/17/2024,841.01
4/16/2024,837.02
4/15/2024,850.46
4/12/2024,870.15
4/11/2024,885.68
4/10/2024,886.49
4/9/2024,901.91
4/8/2024,882.74
4/5/2024,873.91
4/4/2024,888.05
4/3/2024,882.04
4/2/2024,877.48
4/1/2024,891.88
3/29/2024,892.99
3/28/2024,892.72
3/27/2024,890.41
3/26/2024,865.11
3/25/2024,870.65
3/22/2024,877.25
3/21/2024,878.38
3/20/2024,869.75
3/19/2024,856.65
3/18/2024,863.58
3/15/2024,859.39
3/14/2024,865.99
3/13/2024,877.62
3/12/2024,893.43
3/11/2024,912.85
3/8/2024,917.4
3/7/2024,911.02
3/6/2024,900.35
3/5/2024,889.83
3/4/2024,890.23
3/1/2024,901.69
2/29/2024,889.23
2/28/2024,877.09
2/27/2024,885.11
2/26/2024,875.18
2/23/2024,875.21
2/22/2024,887.83
2/21/2024,905.4
2/20/2024,917.31
2/19/2024,928.8
2/16/2024,928.9
2/15/2024,938.24
2/14/2024,925.82
2/13/2024,906.61
2/12/2024,931.37
2/9/2024,916.9
2/8/2024,908.08
2/7/2024,912.01
2/6/2024,886.73
2/5/2024,876.19
2/2/2024,896.49
2/1/2024,908.16
1/31/2024,890.77
1/30/2024,887.14
1/29/2024,896.91
1/26/2024,889.46
1/25/2024,894.13
1/24/2024,894.47
1/23/2024,896.93
1/22/2024,885.81
1/19/2024,876.76
1/18/2024,879.99
1/17/2024,877.87
1/16/2024,905.01
1/15/2024,931.58
1/12/2024,933.16
1/11/2024,938.1
1/10/2024,951.21
1/9/2024,952.46
1/8/2024,952.87
1/5/2024,951.47
1/4/2024,953.9
1/3/2024,962.81
1/2/2024,988.38
1/1/2024,"1,000.32"
12/29/2023,999.73
12/28/2023,"1,008.85"
12/27/2023,998.94
12/26/2023,991.49
12/25/2023,982.89
12/22/2023,983.56
12/21/2023,980.73
12/20/2023,959.46
12/19/2023,979.13
12/18/2023,957.59
12/15/2023,971.38
12/14/2023,961.54
12/13/2023,906.67
12/12/2023,881.95
12/11/2023,896.09
12/8/2023,898.32
12/7/2023,904.46
12/6/2023,906.97
12/5/2023,914.14
12/4/2023,920.46
12/1/2023,918.48
11/30/2023,903.46
11/29/2023,894.39
11/28/2023,884.94
11/27/2023,877.19
11/24/2023,880.64
11/23/2023,887.79
11/22/2023,886.76
11/21/2023,890.64
11/20/2023,902.27
11/17/2023,888.54
11/16/2023,885.6
11/15/2023,890.52
11/14/2023,875.95
11/13/2023,825.22
11/10/2023,825.36
11/9/2023,838.36
11/8/2023,841.73
11/7/2023,853.25
11/6/2023,860.95
11/3/2023,864.77
11/2/2023,840.89
11/1/2023,815.88
10/31/2023,826.12
10/30/2023,819.01
10/27/2023,826.27
10/26/2023,847.2
10/25/2023,842.12
10/24/2023,855.87
10/23/2023,846.09
10/20/2023,849.02
10/19/2023,874.97
10/18/2023,889.11
10/17/2023,909.95
10/16/2023,900.17
10/13/2023,893.92
10/12/2023,906.31
10/11/2023,920.35
10/10/2023,909.5
10/9/2023,876.98
10/6/2023,877.46
10/5/2023,869.15
10/4/2023,875.3
10/3/2023,873.97
10/2/2023,898.94
9/29/2023,931.88
9/28/2023,929.67
9/27/2023,930.85
9/26/2023,936.92
9/25/2023,952.2
9/22/2023,962.85
9/21/2023,970.91
9/20/2023,990.37
9/19/2023,986.53
9/18/2023,982.64
9/15/2023,997.58
9/14/2023,"1,007.04"
9/13/2023,985.14
9/12/2023,991.76
9/11/2023,986.53
9/8/2023,983.82
9/7/2023,983.77
9/6/2023,990.97
9/5/2023,"1,006.71"
9/4/2023,"1,020.22"
9/1/2023,"1,023.49"
8/31/2023,"1,023.35"
8/30/2023,"1,029.45"
8/29/2023,"1,046.62"
8/28/2023,"1,024.25"
8/25/2023,"1,017.84"
8/24/2023,"1,014.02"
8/23/2023,"1,024.07"
8/22/2023,"1,011.59"
8/21/2023,"1,013.63"
8/18/2023,"1,017.16"
8/17/2023,"1,019.10"
8/16/2023,"1,033.43"
8/15/2023,"1,045.86"
8/14/2023,"1,073.38"
8/11/2023,"1,075.99"
8/10/2023,"1,084.67"
8/9/2023,"1,093.92"
8/8/2023,"1,081.92"
8/7/2023,"1,085.26"
8/4/2023,"1,093.95"
8/3/2023,"1,098.39"
8/2/2023,"1,104.29"
8/1/2023,"1,151.44"
7/31/2023,"1,165.35"
7/28/2023,"1,158.45"
7/27/2023,"1,165.16"
7/26/2023,"1,186.38"
7/25/2023,"1,195.23"
7/24/2023,"1,193.52"
7/21/2023,"1,196.07"
7/20/2023,"1,198.14"
7/19/2023,"1,210.77"
7/18/2023,"1,206.60"
7/17/2023,"1,213.88"
7/14/2023,"1,190.87"
7/13/2023,"1,204.62"
7/12/2023,"1,186.80"
7/11/2023,"1,161.31"
7/10/2023,"1,156.19"
7/7/2023,"1,142.53"
7/6/2023,"1,131.92"
7/5/2023,"1,158.65"
7/4/2023,"1,175.46"
7/3/2023,"1,176.89"
6/30/2023,"1,172.31"
6/29/2023,"1,147.81"
6/28/2023,"1,151.37"
6/27/2023,"1,149.21"
6/26/2023,"1,139.93"
6/23/2023,"1,140.26"
6/22/2023,"1,158.49"
6/21/2023,"1,168.57"
6/20/2023,"1,178.20"
6/19/2023,"1,197.35"
6/16/2023,"1,202.06"
6/15/2023,"1,204.16"
6/14/2023,"1,190.51"
6/13/2023,"1,197.71"
6/12/2023,"1,194.86"
6/9/2023,"1,184.07"
6/8/2023,"1,186.94"
6/7/2023,"1,184.87"
6/6/2023,"1,185.91"
6/5/2023,"1,186.14"
6/2/2023,"1,189.91"
6/1/2023,"1,180.67"
5/31/2023,"1,164.85"
5/30/2023,"1,180.56"
5/29/2023,"1,172.47"
5/26/2023,"1,177.71"
5/25/2023,"1,180.81"
5/24/2023,"1,181.95"
5/23/2023,"1,190.06"
5/22/2023,"1,197.19"
5/19/2023,"1,184.16"
5/18/2023,"1,189.98"
5/17/2023,"1,201.76"
5/16/2023,"1,202.28"
5/15/2023,"1,222.88"
5/12/2023,"1,212.18"
5/11/2023,"1,177.57"
5/10/2023,"1,180.62"
5/9/2023,"1,173.92"
5/8/2023,"1,182.99"
5/5/2023,"1,181.23"
5/4/2023,"1,165.38"
5/3/2023,"1,160.45"
5/2/2023,"1,159.03"
5/1/2023,"1,283.19"
4/28/2023,"1,191.18"
4/27/2023,"1,205.37"
4/26/2023,"1,189.11"
4/25/2023,"1,241.55"
4/24/2023,"1,260.08"
4/21/2023,"1,261.02"
4/20/2023,"1,257.64"
4/19/2023,"1,260.80"
4/18/2023,"1,267.23"
4/17/2023,"1,267.70"
4/14/2023,"1,248.27"
4/13/2023,"1,260.19"
4/12/2023,"1,240.79"
4/11/2023,"1,241.86"
4/10/2023,"1,231.61"
4/7/2023,"1,222.88"
4/6/2023,"1,223.15"
4/5/2023,"1,224.04"
4/4/2023,"1,239.68"
4/3/2023,"1,244.12"
3/31/2023,"1,260.70"
3/30/2023,"1,240.91"
3/29/2023,"1,220.40"
3/28/2023,"1,197.66"
3/27/2023,"1,197.81"
3/24/2023,"1,194.96"
3/23/2023,"1,207.27"
3/22/2023,"1,194.70"
3/21/2023,"1,209.85"
3/20/2023,"1,183.51"
3/17/2023,"1,170.89"
3/16/2023,"1,204.17"
3/15/2023,"1,212.02"
3/14/2023,"1,238.52"
3/13/2023,"1,232.32"
3/10/2023,"1,227.70"
3/9/2023,"1,247.52"
3/8/2023,"1,260.85"
3/7/2023,"1,263.99"
3/6/2023,"1,273.20"
3/3/2023,"1,257.88"
3/2/2023,"1,235.46"
3/1/2023,"1,244.40"
2/28/2023,"1,229.12"
2/27/2023,"1,228.40"
2/24/2023,"1,209.61"
2/23/2023,"1,231.10"
2/22/2023,"1,229.81"
2/21/2023,"1,238.25"
2/20/2023,"1,256.36"
2/17/2023,"1,251.69"
2/16/2023,"1,255.20"
2/15/2023,"1,282.44"
2/14/2023,"1,260.64"
2/13/2023,"1,267.87"
2/10/2023,"1,260.00"
2/9/2023,"1,265.60"
2/8/2023,"1,284.38"
2/7/2023,"1,289.24"
2/6/2023,"1,293.32"
2/3/2023,"1,305.92"
2/2/2023,"1,336.73"
2/1/2023,"1,336.03"
1/31/2023,"1,321.68"
1/30/2023,"1,294.74"
1/27/2023,"1,311.42"
1/26/2023,"1,314.49"
1/25/2023,"1,316.26"
1/24/2023,"1,328.46"
1/23/2023,"1,336.64"
1/20/2023,"1,314.27"
1/19/2023,"1,304.28"
1/18/2023,"1,358.85"
1/17/2023,"1,367.01"
1/16/2023,"1,360.67"
1/13/2023,"1,355.36"
1/12/2023,"1,354.10"
1/11/2023,"1,331.66"
1/10/2023,"1,294.39"
1/9/2023,"1,282.13"
1/6/2023,"1,266.38"
1/5/2023,"1,239.44"
1/4/2023,"1,263.08"
1/3/2023,"1,257.95"
1/2/2023,"1,271.84"
12/30/2022,"1,272.51"
12/29/2022,"1,273.09"
12/28/2022,"1,257.29"
12/27/2022,"1,264.05"
12/26/2022,"1,283.55"
12/23/2022,"1,282.93"
12/22/2022,"1,289.84"
12/21/2022,"1,309.41"
12/20/2022,"1,292.94"
12/19/2022,"1,297.59"
12/16/2022,"1,307.56"
12/15/2022,"1,335.02"
12/14/2022,"1,360.65"
12/13/2022,"1,343.18"
12/12/2022,"1,322.84"
12/9/2022,"1,319.86"
12/8/2022,"1,316.39"
12/7/2022,"1,310.04"
12/6/2022,"1,315.22"
12/5/2022,"1,347.53"
12/2/2022,"1,352.52"
12/1/2022,"1,341.76"
11/30/2022,"1,337.09"
11/29/2022,"1,299.45"
11/28/2022,"1,307.56"
11/25/2022,"1,334.35"
11/24/2022,"1,340.86"
11/23/2022,"1,327.08"
11/22/2022,"1,314.56"
11/21/2022,"1,298.75"
11/18/2022,"1,310.98"
11/17/2022,"1,306.76"
11/16/2022,"1,311.32"
11/15/2022,"1,321.89"
11/14/2022,"1,297.64"
11/11/2022,"1,306.91"
11/10/2022,"1,307.31"
11/9/2022,"1,239.68"
11/8/2022,"1,240.82"
11/7/2022,"1,213.60"
11/4/2022,"1,219.89"
11/3/2022,"1,215.18"
11/2/2022,"1,202.26"
11/1/2022,"1,211.77"
10/31/2022,"1,206.14"
10/28/2022,"1,203.06"
10/27/2022,"1,210.55"
10/26/2022,"1,201.08"
10/25/2022,"1,166.82"
10/24/2022,"1,137.77"
10/21/2022,"1,140.00"
10/20/2022,"1,131.81"
10/19/2022,"1,140.55"
10/18/2022,"1,171.98"
10/17/2022,"1,142.11"
10/14/2022,"1,128.63"
10/13/2022,"1,139.30"
10/12/2022,"1,137.04"
10/11/2022,"1,162.54"
10/10/2022,"1,175.79"
10/7/2022,"1,185.59"
10/6/2022,"1,185.59"
10/5/2022,"1,245.55"
10/4/2022,"1,296.34"
10/3/2022,"1,257.23"
9/30/2022,"1,225.96"
9/29/2022,"1,220.69"
9/28/2022,"1,267.24"
9/27/2022,"1,261.71"
9/26/2022,"1,254.34"
9/23/2022,"1,286.90"
9/22/2022,"1,320.88"
9/21/2022,"1,368.16"
9/20/2022,"1,375.10"
9/19/2022,"1,407.21"
9/16/2022,"1,415.08"
9/15/2022,"1,423.50"
9/14/2022,"1,458.35"
9/13/2022,"1,447.09"
9/12/2022,"1,475.29"
9/9/2022,"1,466.23"
9/8/2022,"1,463.42"
9/7/2022,"1,447.86"
9/6/2022,"1,388.45"
9/5/2022,"1,377.33"
9/2/2022,"1,381.19"
9/1/2022,"1,391.46"
8/31/2022,"1,421.93"
8/30/2022,"1,420.59"
8/29/2022,"1,429.54"
8/26/2022,"1,454.79"
8/25/2022,"1,476.28"
8/24/2022,"1,448.76"
8/23/2022,"1,424.80"
8/22/2022,"1,422.84"
8/19/2022,"1,447.04"
8/18/2022,"1,485.73"
8/17/2022,"1,482.27"
8/16/2022,"1,487.21"
8/15/2022,"1,508.03"
8/12/2022,"1,503.78"
8/11/2022,"1,492.98"
8/10/2022,"1,510.81"
8/9/2022,"1,446.61"
8/8/2022,"1,443.64"
8/5/2022,"1,436.16"
8/4/2022,"1,419.91"
8/3/2022,"1,392.31"
8/2/2022,"1,430.02"
8/1/2022,"1,415.94"
7/29/2022,"1,424.16"
7/28/2022,"1,390.71"
7/27/2022,"1,293.81"
7/26/2022,"1,248.75"
7/25/2022,"1,261.86"
7/22/2022,"1,253.04"
7/21/2022,"1,253.44"
7/20/2022,"1,261.67"
7/19/2022,"1,249.32"
7/18/2022,"1,235.38"
7/15/2022,"1,201.82"
7/14/2022,"1,222.62"
7/13/2022,"1,233.09"
7/12/2022,"1,225.40"
7/11/2022,"1,249.25"
7/8/2022,"1,278.41"
7/7/2022,"1,261.53"
7/6/2022,"1,212.28"
7/5/2022,"1,214.22"
7/4/2022,"1,227.87"
7/1/2022,"1,227.42"
6/30/2022,"1,212.15"
6/29/2022,"1,199.72"
6/28/2022,"1,233.40"
6/27/2022,"1,261.23"
6/24/2022,"1,240.65"
6/23/2022,"1,233.88"
6/22/2022,"1,215.02"
6/21/2022,"1,222.34"
6/20/2022,"1,201.19"
6/17/2022,"1,187.51"
6/16/2022,"1,150.39"
6/15/2022,"1,188.85"
6/14/2022,"1,165.89"
6/13/2022,"1,183.85"
6/10/2022,"1,256.48"
6/9/2022,"1,281.05"
6/8/2022,"1,311.57"
6/7/2022,"1,323.58"
6/6/2022,"1,316.57"
6/3/2022,"1,289.05"
6/2/2022,"1,293.83"
6/1/2022,"1,254.92"
5/31/2022,"1,269.55"
5/30/2022,"1,281.74"
5/27/2022,"1,272.96"
5/26/2022,"1,244.46"
5/25/2022,"1,218.57"
5/24/2022,"1,203.57"
5/23/2022,"1,220.14"
5/20/2022,"1,203.31"
5/19/2022,"1,195.59"
5/18/2022,"1,163.26"
5/17/2022,"1,157.31"
5/16/2022,"1,111.44"
5/13/2022,"1,118.35"
5/12/2022,"1,071.44"
5/11/2022,"1,088.40"
5/10/2022,"1,111.29"
5/9/2022,"1,115.72"
5/6/2022,"1,186.12"
5/5/2022,"1,222.70"
5/4/2022,"1,260.20"
5/3/2022,"1,220.54"
5/2/2022,"1,199.94"
4/29/2022,"1,209.35"
4/28/2022,"1,215.97"
4/27/2022,"1,213.19"
4/26/2022,"1,204.81"
4/25/2022,"1,231.88"
4/22/2022,"1,240.49"
4/21/2022,"1,266.90"
4/20/2022,"1,325.14"
4/19/2022,"1,339.19"
4/18/2022,"1,322.35"
4/15/2022,"1,327.10"
4/14/2022,"1,327.17"
4/13/2022,"1,337.71"
4/12/2022,"1,330.09"
4/11/2022,"1,343.05"
4/8/2022,"1,358.77"
4/7/2022,"1,372.51"
4/6/2022,"1,386.44"
4/5/2022,"1,412.08"
4/4/2022,"1,406.89"
4/1/2022,"1,382.51"
3/31/2022,"1,376.56"
3/30/2022,"1,369.35"
3/29/2022,"1,364.90"
