date,value
10/7/2024,0.9105
10/6/2024,0.9115
10/4/2024,0.9109
10/3/2024,0.9065
10/2/2024,0.9053
10/1/2024,0.9034
9/30/2024,0.8981
9/27/2024,0.8957
9/26/2024,0.8947
9/25/2024,0.8981
9/24/2024,0.8944
9/23/2024,0.8998
9/20/2024,0.8958
9/19/2024,0.8959
9/18/2024,0.8994
9/17/2024,0.8998
9/16/2024,0.8982
9/13/2024,0.9028
9/12/2024,0.9029
9/11/2024,0.9079
9/10/2024,0.9074
9/9/2024,0.9062
9/6/2024,0.902
9/5/2024,0.9
9/4/2024,0.9023
9/3/2024,0.9055
9/2/2024,0.9031
8/30/2024,0.9051
8/29/2024,0.9027
8/28/2024,0.8992
8/27/2024,0.8941
8/26/2024,0.8959
8/23/2024,0.8934
8/22/2024,0.8998
8/21/2024,0.8968
8/20/2024,0.8984
8/19/2024,0.902
8/16/2024,0.9067
8/15/2024,0.9113
8/14/2024,0.908
8/13/2024,0.9096
8/12/2024,0.9147
8/9/2024,0.916
8/8/2024,0.9158
8/7/2024,0.9155
8/6/2024,0.9147
8/5/2024,0.9128
8/2/2024,0.9164
8/1/2024,0.9266
7/31/2024,0.9237
7/30/2024,0.9246
7/29/2024,0.924
7/26/2024,0.9208
7/25/2024,0.9218
7/24/2024,0.9223
7/23/2024,0.9212
7/22/2024,0.9179
7/19/2024,0.919
7/18/2024,0.9178
7/17/2024,0.914
7/16/2024,0.9173
7/15/2024,0.9179
7/12/2024,0.9167
7/11/2024,0.92
7/10/2024,0.9233
7/9/2024,0.9246
7/8/2024,0.9237
7/5/2024,0.9225
7/4/2024,0.9249
7/3/2024,0.927
7/2/2024,0.9305
7/1/2024,0.9309
6/28/2024,0.9331
6/27/2024,0.9341
6/26/2024,0.9362
6/25/2024,0.9332
6/24/2024,0.9316
6/21/2024,0.935
6/20/2024,0.9342
6/19/2024,0.9305
6/18/2024,0.9309
6/17/2024,0.9315
6/14/2024,0.9342
6/13/2024,0.9312
6/12/2024,0.925
6/11/2024,0.931
6/10/2024,0.9288
6/7/2024,0.9256
6/6/2024,0.9181
6/5/2024,0.9199
6/4/2024,0.9189
6/3/2024,0.9169
5/31/2024,0.9221
5/30/2024,0.923
5/29/2024,0.9256
5/28/2024,0.9209
5/27/2024,0.9209
5/24/2024,0.9217
5/23/2024,0.9246
5/22/2024,0.9238
5/21/2024,0.9212
5/20/2024,0.9209
5/17/2024,0.9196
5/16/2024,0.92
5/15/2024,0.9186
5/14/2024,0.924
5/13/2024,0.9267
5/10/2024,0.9282
5/9/2024,0.9274
5/8/2024,0.9302
5/7/2024,0.9296
5/6/2024,0.9285
5/3/2024,0.9292
5/2/2024,0.9321
5/1/2024,0.9334
4/30/2024,0.9374
4/29/2024,0.9326
4/26/2024,0.9349
4/25/2024,0.932
4/24/2024,0.9345
4/23/2024,0.9343
4/22/2024,0.9384
4/19/2024,0.9384
4/18/2024,0.9394
4/17/2024,0.9368
4/16/2024,0.9415
4/15/2024,0.9411
4/12/2024,0.9393
4/11/2024,0.9321
4/10/2024,0.9308
4/9/2024,0.9209
4/8/2024,0.9207
4/5/2024,0.9226
4/4/2024,0.9226
4/3/2024,0.9228
4/2/2024,0.9284
4/1/2024,0.9308
3/29/2024,0.9264
3/28/2024,0.9267
3/27/2024,0.9234
3/26/2024,0.923
3/25/2024,0.9226
3/22/2024,0.9252
3/21/2024,0.9207
3/20/2024,0.9156
3/19/2024,0.9202
3/18/2024,0.9195
3/15/2024,0.9182
3/14/2024,0.9187
3/13/2024,0.9133
3/12/2024,0.9151
3/11/2024,0.9152
3/8/2024,0.914
3/7/2024,0.9132
3/6/2024,0.9173
3/5/2024,0.9209
3/4/2024,0.921
3/1/2024,0.9224
2/29/2024,0.9253
2/28/2024,0.9225
2/27/2024,0.9218
2/26/2024,0.9214
2/23/2024,0.924
2/22/2024,0.9236
2/21/2024,0.9241
2/20/2024,0.9253
2/19/2024,0.9276
2/16/2024,0.9278
2/15/2024,0.9281
2/14/2024,0.9321
2/13/2024,0.9336
2/12/2024,0.9282
2/9/2024,0.9271
2/8/2024,0.9276
2/7/2024,0.9281
2/6/2024,0.9298
2/5/2024,0.9307
2/2/2024,0.927
2/1/2024,0.9196
1/31/2024,0.9242
1/30/2024,0.9218
1/29/2024,0.9229
1/26/2024,0.9211
1/25/2024,0.9219
1/24/2024,0.9185
1/23/2024,0.9216
1/22/2024,0.9187
1/19/2024,0.9175
1/18/2024,0.9193
1/17/2024,0.9187
1/16/2024,0.9193
1/15/2024,0.9131
1/12/2024,0.913
1/11/2024,0.9112
1/10/2024,0.9112
1/9/2024,0.9147
1/8/2024,0.913
1/5/2024,0.9138
1/4/2024,0.9135
1/3/2024,0.9156
1/2/2024,0.9137
1/1/2024,0.9053
12/29/2023,0.906
12/28/2023,0.9039
12/27/2023,0.9003
12/26/2023,0.9053
12/25/2023,0.9082
12/22/2023,0.9079
12/21/2023,0.9081
12/20/2023,0.9139
12/19/2023,0.9104
12/18/2023,0.9152
12/15/2023,0.9177
12/14/2023,0.9095
12/13/2023,0.9194
12/12/2023,0.9263
12/11/2023,0.9288
12/8/2023,0.9289
12/7/2023,0.9263
12/6/2023,0.9289
12/5/2023,0.926
12/4/2023,0.9228
12/1/2023,0.9188
11/30/2023,0.9184
11/29/2023,0.9114
11/28/2023,0.9096
11/27/2023,0.9128
11/24/2023,0.9138
11/23/2023,0.9168
11/22/2023,0.9182
11/21/2023,0.9163
11/20/2023,0.9139
11/17/2023,0.9165
11/16/2023,0.9213
11/15/2023,0.9217
11/14/2023,0.9191
11/13/2023,0.9346
11/10/2023,0.9359
11/9/2023,0.9372
11/8/2023,0.9339
11/7/2023,0.9345
11/6/2023,0.933
11/3/2023,0.9317
11/2/2023,0.9413
11/1/2023,0.9459
10/31/2023,0.9452
10/30/2023,0.9419
10/27/2023,0.9463
10/26/2023,0.9466
10/25/2023,0.9463
10/24/2023,0.9441
10/23/2023,0.937
10/20/2023,0.9438
10/19/2023,0.9447
10/18/2023,0.9489
10/17/2023,0.9453
10/16/2023,0.9468
10/13/2023,0.9512
10/12/2023,0.9497
10/11/2023,0.9415
10/10/2023,0.9428
10/9/2023,0.9462
10/6/2023,0.9444
10/5/2023,0.9477
10/4/2023,0.9517
10/3/2023,0.9552
10/2/2023,0.9542
9/29/2023,0.9457
9/28/2023,0.9467
9/27/2023,0.952
9/26/2023,0.9457
9/25/2023,0.9439
9/22/2023,0.9384
9/21/2023,0.9379
9/20/2023,0.9378
9/19/2023,0.9362
9/18/2023,0.9351
9/15/2023,0.9382
9/14/2023,0.9394
9/13/2023,0.932
9/12/2023,0.9296
9/11/2023,0.9301
9/8/2023,0.9344
9/7/2023,0.9343
9/6/2023,0.9321
9/5/2023,0.9319
9/4/2023,0.9264
9/1/2023,0.9279
8/31/2023,0.9221
8/30/2023,0.9151
8/29/2023,0.9189
8/28/2023,0.9241
8/25/2023,0.9256
8/24/2023,0.9248
8/23/2023,0.9206
8/22/2023,0.9218
8/21/2023,0.9179
8/18/2023,0.9199
8/17/2023,0.9195
8/16/2023,0.9191
8/15/2023,0.9169
8/14/2023,0.9168
8/11/2023,0.9134
8/10/2023,0.9105
8/9/2023,0.911
8/8/2023,0.9126
8/7/2023,0.9084
8/4/2023,0.9081
8/3/2023,0.9134
8/2/2023,0.9141
