date,price,시가,고가,저가,volume,변동 %,Market_size
10/7/2024,60.7,61.46,61.46,60.35,2070.0,-2.18%,125649.0
10/4/2024,62.05,62.04,62.57,61.41,25340.0,-1.13%,1572347.0
10/3/2024,62.76,62.56,62.96,62.01,23400.0,0.26%,1468584.0
10/2/2024,62.6,63.9,65.04,62.54,35780.0,-1.59%,2239828.0
10/1/2024,63.61,65.23,65.23,62.75,48310.0,-2.97%,3072999.1
9/30/2024,65.56,66.46,66.97,65.13,25800.0,-1.16%,1691448.0
9/27/2024,66.33,66.0,66.46,65.28,21370.0,-0.29%,1417472.0999999999
9/26/2024,66.52,65.25,66.75,64.34,31100.0,1.96%,2068771.9999999998
9/25/2024,65.24,64.28,65.59,63.65,33930.0,2.14%,2213593.1999999997
9/24/2024,63.87,64.21,64.93,63.53,30760.0,-0.36%,1964641.2
9/23/2024,64.1,63.7,64.72,63.34,27180.0,1.12%,1742237.9999999998
9/20/2024,63.39,63.5,64.15,62.88,24410.0,0.91%,1547349.9
9/19/2024,62.82,63.93,65.42,62.39,49400.0,-1.38%,3103308.0
9/18/2024,63.7,64.49,64.88,63.21,22570.0,-0.99%,1437709.0
9/17/2024,64.34,63.2,65.16,62.45,33430.0,1.79%,2150886.2
9/13/2024,64.99,65.25,65.94,64.6,25950.0,-0.70%,1686490.4999999998
9/12/2024,65.45,66.08,66.43,65.11,24040.0,-1.43%,1573418.0
9/11/2024,66.4,65.14,66.53,64.71,31440.0,2.28%,2087616.0000000002
9/10/2024,64.92,66.27,67.18,64.76,34480.0,-2.41%,2238441.6
9/9/2024,66.52,66.5,67.45,66.06,24490.0,0.03%,1629074.7999999998
9/6/2024,66.5,66.1,67.74,66.04,33390.0,0.45%,2220435.0
9/5/2024,66.2,66.79,67.68,65.95,33560.0,-1.19%,2221672.0
9/4/2024,67.0,68.1,68.47,66.75,28040.0,-1.70%,1878680.0
9/3/2024,68.16,70.41,70.44,68.1,34500.0,-3.22%,2351520.0
9/2/2024,70.43,70.03,70.99,69.56,24520.0,0.18%,1726943.6
8/30/2024,70.3,71.09,71.45,69.96,20560.0,-1.07%,1445368.0
8/29/2024,71.06,70.65,71.23,70.08,20680.0,0.41%,1469520.8
8/28/2024,70.77,71.51,72.21,70.35,22670.0,-1.01%,1604355.9
8/27/2024,71.49,70.67,71.93,70.24,20820.0,1.42%,1488421.7999999998
8/26/2024,70.49,71.1,71.75,70.07,17220.0,-0.90%,1213837.7999999998
8/23/2024,71.13,71.51,72.37,70.62,16660.0,-0.61%,1185025.7999999998
8/22/2024,71.57,72.42,72.64,71.17,22100.0,-0.79%,1581696.9999999998
8/21/2024,72.14,73.29,73.83,71.68,20050.0,-1.27%,1446407.0
8/20/2024,73.07,72.94,74.75,72.65,30000.0,-0.10%,2192100.0
8/19/2024,73.14,72.5,73.8,72.01,20350.0,0.85%,1488399.0
8/16/2024,72.52,72.19,72.98,71.5,14660.0,0.57%,1063143.2
8/15/2024,72.11,71.98,72.23,70.48,22490.0,0.33%,1621753.9
8/14/2024,71.87,71.35,72.44,71.26,15750.0,0.81%,1131952.5
8/13/2024,71.29,72.14,73.06,71.14,25780.0,-1.87%,1837856.2000000002
8/12/2024,72.65,70.08,74.13,69.46,39260.0,3.58%,2852239.0
8/9/2024,70.14,71.0,71.86,69.61,20310.0,-1.29%,1424543.4
8/8/2024,71.06,71.19,71.73,69.72,25350.0,0.69%,1801371.0
8/7/2024,70.57,69.96,71.43,69.1,23500.0,0.93%,1658394.9999999998
8/6/2024,69.92,69.28,70.39,69.07,18050.0,1.54%,1262056.0
8/5/2024,68.86,69.75,69.75,67.86,23050.0,-2.24%,1587223.0
8/2/2024,70.44,71.18,71.31,69.45,23240.0,-1.03%,1637025.5999999999
8/1/2024,71.17,69.55,71.5,68.83,29180.0,2.79%,2076740.6
7/31/2024,69.24,68.95,69.44,68.04,20380.0,0.96%,1411111.2
7/30/2024,68.58,68.67,69.29,67.47,20660.0,-0.29%,1416862.8
7/29/2024,68.78,67.7,68.9,67.2,16079.999999999998,1.58%,1105982.4
7/26/2024,67.71,66.9,68.15,66.79,12680.0,0.94%,858562.7999999999
7/25/2024,67.08,68.91,68.91,66.65,21150.0,-2.64%,1418742.0
7/24/2024,68.9,65.79,69.02,65.55,26230.0,4.73%,1807247.0000000002
7/23/2024,65.79,64.82,66.22,64.26,19170.0,1.54%,1261194.3
7/22/2024,64.79,66.28,66.73,64.25,25440.0,-1.83%,1648257.6
7/19/2024,66.0,66.35,67.49,65.73,15460.0,-0.17%,1020360.0
7/18/2024,66.11,66.43,66.98,66.01,17930.0,-0.47%,1185352.3
7/17/2024,66.42,68.01,68.13,66.41,19670.0,-2.24%,1306481.4000000001
7/16/2024,67.94,67.85,68.27,67.16,18320.0,0.53%,1244660.8
7/15/2024,67.58,69.58,69.58,67.1,22050.0,-2.55%,1490139.0
7/12/2024,69.35,68.55,69.52,67.69,18190.0,1.21%,1261476.5
7/11/2024,68.52,68.15,68.83,67.6,16480.0,0.82%,1129209.5999999999
7/10/2024,67.96,68.66,69.4,67.86,15810.0,-0.82%,1074447.5999999999
7/9/2024,68.52,69.15,69.19,68.18,16720.0,-0.75%,1145654.4
7/8/2024,69.04,70.59,71.85,68.8,25020.0,-1.86%,1727380.8
7/5/2024,70.35,70.12,71.15,69.94,12630.0,0.24%,888520.4999999999
7/4/2024,70.18,70.76,71.16,69.83,19110.0,-1.03%,1341139.8
7/3/2024,70.91,70.67,71.95,70.0,25070.0,-0.03%,1777713.7
7/2/2024,70.93,68.3,71.03,67.52,27020.0,3.81%,1916528.6
7/1/2024,68.33,67.41,69.68,67.13,19710.0,1.44%,1346784.3
6/28/2024,67.36,66.71,68.4,65.79,22060.0,1.31%,1485961.6
6/27/2024,66.49,67.03,67.78,66.42,19500.0,-1.10%,1296555.0
6/26/2024,67.23,68.35,69.09,66.8,22830.0,-0.84%,1534860.9000000001
6/25/2024,67.8,67.45,68.07,66.85,20560.0,0.36%,1393968.0
6/24/2024,67.56,68.02,68.27,67.01,25780.0,-0.72%,1741696.8
6/21/2024,68.05,69.51,69.51,67.94,18860.0,-1.65%,1283423.0
6/20/2024,69.19,70.6,71.59,69.07,21090.0,-2.19%,1459217.0999999999
6/19/2024,70.74,68.74,70.81,68.5,20840.0,3.45%,1474221.5999999999
6/18/2024,68.38,68.26,69.25,67.72,25050.0,0.32%,1712919.0
6/17/2024,68.16,68.7,69.21,67.63,22760.0,-0.54%,1551321.5999999999
6/14/2024,68.53,70.75,71.09,68.18,32670.0,-3.30%,2238875.1
6/13/2024,70.87,70.3,71.99,70.3,18920.0,0.81%,1340860.4000000001
6/12/2024,70.3,70.45,71.75,69.97,20420.0,-0.16%,1435526.0
6/11/2024,70.41,70.8,72.17,69.87,22850.0,-0.71%,1608868.5
6/10/2024,70.91,71.14,71.2,69.29,27320.0,-0.71%,1937261.2
6/7/2024,71.42,71.78,71.88,71.02,14700.0,-0.15%,1049874.0
6/6/2024,71.53,71.82,72.98,71.25,19250.0,-0.65%,1376952.5
6/5/2024,72.0,72.72,73.26,70.96,25060.0,-0.80%,1804320.0
6/4/2024,72.58,74.52,74.71,72.27,29740.0,-2.75%,2158529.1999999997
6/3/2024,74.63,74.44,77.8,74.25,29510.0,0.76%,2202331.3
5/31/2024,74.07,75.48,76.42,73.85,19010.0,-1.50%,1408070.7
5/30/2024,75.2,73.66,75.84,73.37,19230.0,1.69%,1446096.0
5/29/2024,73.95,74.5,75.6,72.95,21290.0,-0.87%,1574395.5
5/28/2024,74.6,75.99,76.24,74.15,20350.0,-2.50%,1518110.0
5/27/2024,76.51,75.7,76.99,75.58,11680.0,0.96%,893636.8
5/24/2024,75.78,76.1,76.7,73.9,20910.0,-0.42%,1584559.8
5/23/2024,76.1,76.5,78.1,75.52,28440.0,-0.74%,2164284.0
5/22/2024,76.67,75.83,77.5,75.5,26140.0,0.62%,2004153.8
5/21/2024,76.2,74.18,76.64,73.05,27580.0,2.64%,2101596.0
5/20/2024,74.24,71.0,74.9,71.0,28800.0,5.28%,2138112.0
5/17/2024,70.52,70.5,71.52,69.6,19400.0,-0.38%,1368088.0
5/16/2024,70.79,69.09,71.27,68.88,19430.0,2.31%,1375449.7000000002
5/15/2024,69.19,70.2,71.83,69.09,22110.0,-1.30%,1529790.9
5/14/2024,70.1,70.02,71.32,69.02,15410.0,0.04%,1080241.0
5/13/2024,70.07,71.33,71.49,68.75,24980.0,-2.12%,1750348.5999999999
5/10/2024,71.59,73.5,75.5,71.28,22200.0,-2.76%,1589298.0
5/9/2024,73.62,71.4,74.08,71.13,14640.0,2.36%,1077796.8
5/8/2024,71.92,71.03,72.7,69.61,21900.0,1.51%,1575048.0
5/7/2024,70.85,73.25,74.3,70.57,31160.0,-3.83%,2207686.0
5/6/2024,73.67,71.74,74.49,71.52,18250.0,2.55%,1344477.5
5/3/2024,71.84,72.69,74.55,71.45,25960.0,-1.17%,1864966.4000000001
5/2/2024,72.69,67.88,73.18,67.25,38250.0,7.04%,2780392.5
5/1/2024,67.91,69.19,69.26,67.35,12260.0,-1.86%,832576.6
4/30/2024,69.2,65.95,69.6,65.38,26240.0,5.17%,1815808.0
4/29/2024,65.8,67.0,67.35,65.01,18420.0,-2.53%,1212036.0
4/26/2024,67.51,68.21,69.2,66.57,18840.0,-1.32%,1271888.4000000001
4/25/2024,68.41,67.0,69.92,66.54,27090.0,2.33%,1853226.9
4/24/2024,66.85,66.25,67.45,64.8,22730.0,0.71%,1519500.4999999998
4/23/2024,66.38,66.39,67.21,65.34,22880.0,-0.03%,1518774.4
4/22/2024,66.4,68.0,68.19,66.02,25670.0,-3.09%,1704488.0000000002
4/19/2024,68.52,72.57,73.3,68.13,28400.0,-4.23%,1945968.0
4/18/2024,71.55,69.9,72.22,68.15,31330.0,1.73%,2241661.5
4/17/2024,70.33,74.13,74.48,69.24,37880.0,-5.28%,2664100.4
4/16/2024,74.25,70.26,74.9,69.87,36630.0,5.83%,2719777.5
4/15/2024,70.16,71.55,71.64,69.12,29520.0,-2.07%,2071123.2
4/12/2024,71.64,68.6,71.81,68.07,46290.0,4.08%,3316215.6
4/11/2024,68.83,62.98,68.92,62.81,47860.0,9.51%,3294203.8
4/10/2024,62.85,63.82,65.07,62.3,25550.0,-1.74%,1605817.5
4/9/2024,63.96,63.39,64.64,62.53,27840.0,0.90%,1780646.4000000001
4/8/2024,63.39,60.72,63.77,59.69,32009.999999999996,3.90%,2029113.8999999997
4/5/2024,61.01,58.87,61.15,58.26,25370.0,4.49%,1547823.7
4/4/2024,58.39,57.5,59.24,57.1,22260.0,1.46%,1299761.4
4/3/2024,57.55,59.29,59.43,56.91,23140.0,-2.29%,1331707.0
4/2/2024,58.9,61.22,61.5,58.56,27640.0,-4.89%,1627996.0
3/27/2024,62.61,62.5,63.31,61.08,22310.0,-0.62%,1396829.1
3/26/2024,63.0,64.45,65.74,62.16,33890.0,-2.84%,2135070.0
3/25/2024,64.84,61.69,65.49,61.68,33710.0,5.43%,2185756.4
3/22/2024,61.5,59.1,62.06,58.8,24380.0,3.59%,1499370.0
3/21/2024,59.37,60.04,60.26,58.8,22930.0,-1.07%,1361354.0999999999
3/20/2024,60.01,61.3,61.46,59.99,21680.0,-2.12%,1301016.8
3/19/2024,61.31,61.3,62.87,59.65,26860.0,-0.18%,1646786.6
3/18/2024,61.42,59.5,62.32,59.5,33590.0,3.44%,2063097.8
3/15/2024,59.38,58.9,60.25,58.14,27060.0,0.99%,1606822.8
3/14/2024,58.8,55.85,59.18,55.08,30350.0,5.24%,1784580.0
