quarter,value
4/1/2024,4270369.891
1/1/2024,4257597.1
10/1/2023,4467843.3
7/1/2023,4252078.6
4/1/2023,4226173.2
1/1/2023,4088094.5
10/1/2022,4234324.3
7/1/2022,4024628.9
4/1/2022,3959770.1
1/1/2022,3771072.3
10/1/2021,3937442.3
7/1/2021,3720695.1
4/1/2021,3614207.6
1/1/2021,3417634.9
10/1/2020,3610544.5
7/1/2020,3425179.6
4/1/2020,3106321.1
1/1/2020,3360168.2
10/1/2019,3670351.7
7/1/2019,3511965.9
4/1/2019,3490247.7
1/1/2019,3367356.6
10/1/2018,3552762.1
7/1/2018,3371294.2
4/1/2018,3371013.9
1/1/2018,3250070.8
10/1/2017,3437294.3
7/1/2017,3270255.3
4/1/2017,3252643.6
1/1/2017,3130641.1
10/1/2016,3282815.7
7/1/2016,3130522.5
4/1/2016,3144639.5
1/1/2016,3006115.1
10/1/2015,3208252.8
7/1/2015,3059820.5
4/1/2015,3045034.1
1/1/2015,2921043.3
10/1/2014,3078896.6
7/1/2014,2950464.0
4/1/2014,2934879.6
1/1/2014,2832672.7
10/1/2013,3003489.5
7/1/2013,2884190.9
4/1/2013,2880153.6
1/1/2013,2760308.1
10/1/2012,2956255.6
7/1/2012,2842905.5
4/1/2012,2838683.7
1/1/2012,2763530.9
