quarter,value
Q3 2024,75.99
Q2 2024,71.76
Q1 2024,67.67
Q4 2023,82.27
Q3 2023,90.78
Q2 2023,92.29
Q1 2023,115.8
Q4 2022,192.84
Q3 2022,375.75
Q2 2022,186.98
Q1 2022,184.62
Q4 2021,178.97
Q3 2021,97.14
Q2 2021,60.27
Q1 2021,49.57
Q4 2020,38.77
Q3 2020,36.12
Q2 2020,20.26
Q1 2020 ,26.57
Q4 2019 ,36.59
Q3 2019 ,37.45
Q2 2019 ,35.8
Q1 2019,40.88
Q4 2018,52.6
Q3 2018,53.51
Q2 2018,35.98
Q1 2018,35.5
Q4 2017,33.09
Q3 2017,32.72
Q2 2017,29.78
Q1 2017,41.32
Q4 2016,37.6
Q3 2016,28.26
Q2 2016,24.79
Q1 2016,25.17
Q4 2015,33.19
Q3 2015,32.84
Q2 2015,28.35
Q1 2015,32.1
Q4 2014,34.82
Q3 2014,31.5
Q2 2014,31.24
Q1 2014,33.5
Q4 2013,37.54
Q3 2013,38.76
Q2 2013,32.6
Q1 2013,42.27
Q4 2012,41.37
Q3 2012,43.52
Q2 2012,40.39
Q1 2012,45.1
