Date,EUA,Market_size,Oil,Coal,NG,Power,IR,GDP,USEU,S&P_clean,DAX,High_price,Low_price
2024-10-26,66.97,2096830.7,76.05,119.59,43.513,75.99,3.4,4270369.891,0.9262,836.39,"19,463.59",67.36,66.08
2024-10-25,66.97,2096830.7,76.05,119.59,43.513,75.99,3.4,4270369.891,0.9262,836.39,"19,463.59",67.36,66.08
2024-10-24,66.63,2794462.2,74.38,119.25,42.154,75.99,3.4,4270369.891,0.9235,836.39,"19,463.59",67.57,64.75
2024-10-23,64.89,1979145.0,74.96,119.1,41.38,75.99,3.4,4270369.891,0.9273,835.03,"19,463.59",65.36,61.71
2024-10-22,62.25,1635307.5,76.04,118.6,40.704,75.99,3.65,4270369.891,0.9258,848.05,"19,463.59",62.56,61.29
2024-10-21,61.76,1462476.8,74.29,118.6,40.024,75.99,3.65,4270369.891,0.9246,851.62,"19,463.59",62.95,61.36
2024-10-20,62.28,1311616.8,73.06,118.5,39.204,75.99,3.65,4270369.891,0.9202,857.22,"19,657.37",63.47,62.22
2024-10-19,62.28,1311616.8,73.06,118.5,39.204,75.99,3.65,4270369.891,0.9202,857.22,"19,657.37",63.47,62.22
2024-10-18,62.28,1311616.8,73.06,118.5,39.204,75.99,3.65,4270369.891,0.9202,857.22,"19,657.37",63.47,62.22
2024-10-17,62.98,1289200.6,74.45,118.5,39.65,75.99,3.65,4270369.891,0.9232,855.36,"19,583.39",63.64,62.63
2024-10-16,63.03,1793203.5,74.22,118.15,39.241,75.99,3.65,4270369.891,0.9206,862.53,"19,432.81",65.63,62.8
2024-10-15,65.09,1627250.0,74.25,119.3,39.973,75.99,3.65,4270369.891,0.9181,856.45,"19,486.19",65.59,64.17
2024-10-14,65.97,1539080.1,77.46,120.75,40.559,75.99,3.65,4270369.891,0.9166,868.55,"19,508.29",66.18,63.85
2024-10-13,64.62,1618731.0,79.04,119.85,39.879,75.99,3.65,4270369.891,0.9142,870.38,"19,373.83",65.09,63.75
2024-10-12,64.62,1618731.0,79.04,119.85,39.879,75.99,3.65,4270369.891,0.9142,870.38,"19,373.83",65.09,63.75
2024-10-11,64.62,1618731.0,79.04,119.85,39.879,75.99,3.65,4270369.891,0.9142,870.38,"19,373.83",65.09,63.75
2024-10-10,65.0,1962350.0,79.4,120.55,40.293,75.99,3.65,4270369.891,0.9144,865.39,"19,210.90",65.21,62.04
2024-10-09,62.01,2239181.1,76.58,118.85,38.341,75.99,3.65,4270369.891,0.9141,886.58,"19,254.93",62.71,59.95
2024-10-08,60.29,1914810.4,77.18,119.5,38.919,75.99,3.65,4270369.891,0.9105,889.61,"19,066.47",61.92,60.07
2024-10-07,61.76,3767977.6,81.13,121.9,40.244,75.99,3.65,4270369.891,0.911,894.31,"19,104.10",62.5,60.06
2024-10-06,62.05,1572347.0,77.52,121.95,40.98,75.99,3.65,4270369.891,0.9115,896.68,19120.93,62.57,61.41
2024-10-05,62.05,1572347.0,78.08,121.95,40.98,75.99,3.65,4270369.891,0.9109,896.68,19120.93,62.57,61.41
